Common_Name,scientific_name,bto_code,bocc5
Aquatic Warbler,Acrocephalus paludicola,AQ,
Bullfinch,Pyrrhula pyrrhula,BF,Amber
Brent Goose,Branta bernicla,BG,Amber
Bittern,Botaurus stellaris,BI,Amber
Black Grouse,Tetrao tetrix,BK,Red
Bewick’s Swan,Cygnus columbianus,BS,Red
Corn Bunting,Emberiza calandra,CB,Red
Corncrake,Crex crex,CE,Red
Cuckoo,Cuculus canorus,CK,Red
Curlew,Numenius arquata,CU,Red
Common Scoter,Melanitta nigra,CX,Red
Dunnock,Prunella modularis,D.,Amber
Grasshopper Warbler,Locustella naevia,GH,Red
Hawfinch,Coccothraustes coccothraustes,HF,Red
Herring Gull,Larus argentatus,HG,Red
Hen Harrier,Circus cyaneus,HH,Red
House Sparrow,Passer domesticus,HS,Red
Lapwing,Vanellus vanellus,L.,Red
Linnet,Linaria cannabina,LI,Red
Lesser Redpoll,Acanthis cabaret,LR,
Lesser Spotted Woodpecker,Dryobates minor,LS,Red
Marsh Tit,Poecile palustris,MT,Red
Nightjar,Caprimulgus europaeus,NJ,Amber
Grey Partridge,Perdix perdix,P.,Red
Reed Bunting,Emberiza schoeniclus,RB,Amber
Red Grouse,Lagopus lagopus,RG,Green
Roseate Tern,Sterna dougallii,RS,Red
Ring Ouzel,Turdus torquatus,RZ,Red
Skylark,Alauda arvensis,S.,Red
Spotted Flycatcher,Muscicapa striata,SF,Red
Starling,Sturnus vulgaris,SG,Red
Song Thrush,Turdus philomelos,ST,Amber
Turtle Dove,Streptopelia turtur,TD,Red
Tree Pipit,Anthus trivialis,TP,Red
Tree Sparrow,Passer montanus,TS,Red
Twite,Linaria flavirostris,TW,Red
White-fronted Goose,Anser albifrons,WG,Red
Woodlark,Lullula arborea,WL,Green
Wood Warbler,Phylloscopus sibilatrix,WO,Red
Willow Tit,Poecile montanus,WT,Red
Yellowhammer,Emberiza citrinella,Y.,Red
Yellow Wagtail,Motacilla flava,YW,Red
Balearic Shearwater,Puffinus mauretanicus,,Red
Bar-tailed Godwit,Limosa lapponica,BA,Amber
Black-headed Gull,Chroicocephalus ridibundus,BH,Amber
Chough,Pyrrhocorax pyrrhocorax,CF,Green
Red-backed Shrike,Lanius collurio,ED,Red
Golden Plover,Pluvialis apricaria,GP,Green
Kestrel,Falco tinnunculus,K.,Amber
Pied Flycatcher,Ficedula hypoleuca,PF,Amber
Ringed Plover,Charadrius hiaticula,RP,Red
Black-tailed Godwit,Limosa limosa,BW,Red
Cirl Bunting,Emberiza cirlus,CL,Red
Marsh Warbler,Acrocephalus palustris,MW,Red
Scaup,Aythya marila,SP,Red
Stone-curlew,Burhinus oedicnemus,TN,Amber
Savi’s Warbler,Locustella luscinioides,VI,Red
Sabine’s Gull,Xema sabini,AB,
Arctic Skua,Stercorarius parasiticus,AC,Red
Arctic Tern,Sterna paradisaea,AE,Amber
Little Tern,Sternula albifrons,AF,Amber
Spotted Crake,Porzana porzana,AK,Amber
Avocet,Recurvirostra avosetta,AV,Amber
Blackbird,Turdus merula,B.,Green
Blackcap,Sylvia atricapilla,BC,Green
Bean Goose,Anser fabalis,BE,Amber
Black Tern,Chlidonias niger,BJ,Green
Brambling,Fringilla montifringilla,BL,Green
Black-necked Grebe,Podiceps nigricollis,BN,Amber
Barn Owl,Tyto alba,BO,Green
Buff-breasted Sandpiper,Calidris subruficollis,BQ,
Bearded Tit,Panurus biarmicus,BR,Green
Blue Tit,Cyanistes caeruleus,BT,Green
Bluethroat,Luscinia svecica,BU,
Black-throated Diver,Gavia arctica,BV,Amber
Black Redstart,Phoenicurus ochruros,BX,Amber
Barnacle Goose,Branta leucopsis,BY,Amber
Buzzard,Buteo buteo,BZ,Green
Carrion Crow,Corvus corone,C.,Green
Cormorant,Phalacrocorax carbo,CA,Green
Chiffchaff,Phylloscopus collybita,CC,Green
Collared Dove,Streptopelia decaocto,CD,Green
Greater Canada Goose,Branta canadensis,CG,
Chaffinch,Fringilla coelebs,CH,Green
Crested Tit,Lophophanes cristatus,CI,Green
Common Gull,Larus canus,CM,Amber
Common Tern,Sterna hirundo,CN,Amber
Coot,Fulica atra,CO,Green
Capercaillie,Tetrao urogallus,CP,Red
Cory’s Shearwater,Calonectris borealis,CQ,
Crossbill,Loxia curvirostra,CR,Green
Common Sandpiper,Actitis hypoleucos,CS,Amber
Coal Tit,Periparus ater,CT,Green
Curlew Sandpiper,Calidris ferruginea,CV,Amber
Cetti’s Warbler,Cettia cetti,CW,Green
Scottish Crossbill,Loxia scotica,CY,Amber
Dipper,Cinclus cinclus,DI,Amber
Dunlin,Calidris alpina,DN,Red
Dotterel,Charadrius morinellus,DO,Red
Spotted Redshank,Tringa erythropus,DR,Amber
Rock Dove / Feral Pigeon,Columba livia,DV / FP,Green
Dartford Warbler,Curruca undata,DW,Amber
Eider,Somateria mollissima,E.,Amber
Golden Eagle,Aquila chrysaetos,EA,Green
Egyptian Goose,Alopochen aegyptiaca,EG,
Little Egret,Egretta garzetta,ET,Green
Fulmar,Fulmarus glacialis,F.,Amber
Firecrest,Regulus ignicapilla,FC,Green
Ferruginous Duck,Aythya nyroca,FD,
Fieldfare,Turdus pilaris,FF,Red
Red-footed Falcon,Falco vespertinus,FV,
Red-breasted Flycatcher,Ficedula parva,FY,
Green Woodpecker,Picus viridis,G.,Green
Gadwall,Mareca strepera,GA,Amber
Great Black-backed Gull,Larus marinus,GB,Amber
Goldcrest,Regulus regulus,GC,Green
Goosander,Mergus merganser,GD,Green
Green Sandpiper,Tringa ochropus,GE,Amber
Golden Pheasant,Chrysolophus pictus,GF,
Great Crested Grebe,Podiceps cristatus,GG,Green
Goshawk,Accipiter gentilis,GI,Green
Greylag Goose,Anser anser,GJ,Amber
Greenshank,Tringa nebularia,GK,Amber
Grey Wagtail,Motacilla cinerea,GL,Amber
Goldeneye,Bucephala clangula,GN,Red
Goldfinch,Carduelis carduelis,GO,Green
Great Shearwater,Ardenna gravis,GQ,Green
Greenfinch,Chloris chloris,GR,Red
Great Spotted Woodpecker,Dendrocopos major,GS,Green
Great Tit,Parus major,GT,Green
Guillemot,Uria aalge,GU,Amber
Grey Plover,Pluvialis squatarola,GV,Amber
Garden Warbler,Sylvia borin,GW,Green
Gannet,Morus bassanus,GX,Amber
Garganey,Spatula querquedula,GY,Amber
Glaucous Gull,Larus hyperboreus,GZ,Amber
Grey Heron,Ardea cinerea,H.,Green
Hooded Crow,Corvus cornix,HC,Green
House Martin,Delichon urbicum,HM,Red
Hoopoe,Upupa epops,HP,
Hobby,Falco subbuteo,HY,Green
Honey-buzzard,Pernis apivorus,HZ,Amber
Icterine Warbler,Hippolais icterina,IC,
Iceland Gull,Larus glaucoides,IG,Amber
Ring-billed Gull,Larus delawarensis,IN,
Jay,Garrulus glandarius,J.,Green
Jackdaw,Coloeus monedula,JD,Green
Jack Snipe,Lymnocryptes minimus,JS,Green
Kingfisher,Alcedo atthis,KF,Green
Kittiwake,Rissa tridactyla,KI,Red
Knot,Calidris canutus,KN,Amber
Kentish Plover,Charadrius alexandrinus,KP,
Red Kite,Milvus milvus,KT,Green
Lapland Bunting ,Calcarius lapponicus,LA,Amber
Lesser Black-backed Gull,Larus fuscus,LB,Amber
Long-eared Owl,Asio otus,LE,Green
Little Grebe,Tachybaptus ruficollis,LG,Green
Little Auk,Alle alle,LK,Green
Little Bittern,Ixobrychus minutus,LL,Amber
Lady Amherst’s Pheasant,Chrysolophus amherstiae,LM,
Long-tailed Duck,Clangula hyemalis,LN,Red
Little Owl,Athene noctua,LO,
Little Ringed Plover,Charadrius dubius,LP,Green
Long-tailed Tit,Aegithalos caudatus,LT,Green
Little Gull,Hydrocoloeus minutus,LU,Green
Lesser Whitethroat,Curruca curruca,LW,Green
Little Stint,Calidris minuta,LX,Green
Mistle Thrush,Turdus viscivorus,M.,Red
Mallard,Anas platyrhynchos,MA,Amber
Melodious Warbler,Hippolais polyglotta,ME,
Magpie,Pica pica,MG,Green
Moorhen,Gallinula chloropus,MH,Amber
Merlin,Falco columbarius,ML,Red
Mandarin Duck,Aix galericulata,MN,
Montagu’s Harrier,Circus pygargus,MO,Red
Meadow Pipit,Anthus pratensis,MP,Amber
Marsh Harrier,Circus aeruginosus,MR,Amber
Mute Swan,Cygnus olor,MS,Green
Mediterranean Gull,Ichthyaetus melanocephalus,MU,Amber
Manx Shearwater,Puffinus puffinus,MX,Amber
Nightingale,Luscinia megarhynchos,N.,Red
Spoonbill,Platalea leucorodia,NB,Amber
Great Northern Diver,Gavia immer,ND,Amber
Nuthatch,Sitta europaea,NH,Green
Red-necked Phalarope,Phalaropus lobatus,NK,Red
Serin,Serinus serinus,NS,
Great Skua,Stercorarius skua,NX,Amber
Ortolan Bunting,Emberiza hortulana,OB,
Oystercatcher,Haematopus ostralegus,OC,Amber
Wood Sandpiper,Tringa glareola,OD,Amber
Long-tailed Skua,Stercorarius longicaudus,OG,Green
Golden Oriole,Oriolus oriolus,OL,
Osprey,Pandion haliaetus,OP,Amber
White Stork,Ciconia ciconia,OR,
Sooty Shearwater,Ardenna grisea,OT,Green
Parrot Crossbill,Loxia pytyopsittacus,PC,Amber
Peregrine,Falco peregrinus,PE,Green
Pink-footed Goose,Anser brachyrhynchus,PG,Amber
Pheasant,Phasianus colchicus,PH,
Pomarine Skua,Stercorarius pomarinus,PK,Green
Grey Phalarope,Phalaropus fulicarius,PL,
Ptarmigan,Lagopus muta,PM,Red
Pochard,Aythya ferina,PO,Red
Pectoral Sandpiper,Calidris melanotos,PP,
Richard’s Pipit,Anthus richardi,PR,
Purple Sandpiper,Calidris maritima,PS,Red
Pintail,Anas acuta,PT,Amber
Puffin,Fratercula arctica,PU,Red
Pied Wagtail,Motacilla alba,PW,Green
Quail,Coturnix coturnix,Q.,Amber
Robin,Erithacus rubecula,R.,Green
Razorbill,Alca torda,RA,Amber
Rock Pipit,Anthus petrosus,RC,Green
Redwing,Turdus iliacus,RE,Amber
Rough-legged Buzzard,Buteo lagopus,RF,
Red-throated Diver,Gavia stellata,RH,Green
Ring-necked Parakeet,Psittacula krameri,RI,
Redshank,Tringa totanus,RK,Amber
Red-legged Partridge,Alectoris rufa,RL,
Red-breasted Merganser,Mergus serrator,RM,Amber
Raven,Corvus corax,RN,Green
Rook,Corvus frugilegus,RO,Amber
Red-crested Pochard,Netta rufina,RQ,
Barred Warbler,Sylvia nisoria,RR,
Redstart,Phoenicurus phoenicurus,RT,Amber
Ruff,Calidris pugnax,RU,Red
Reed Warbler,Acrocephalus scirpaceus,RW,Green
Red-necked Grebe,Podiceps grisegena,RX,Red
Ruddy Duck,Oxyura jamaicensis,RY,
Shag,Phalacrocorax aristotelis,SA,Red
Snow Bunting,Plectrophenax nivalis,SB,Amber
Stonechat,Saxicola rubicola,SC,Green
Stock Dove,Columba oenas,SD,Amber
Short-eared Owl,Asio flammeus,SE,Amber
Sparrowhawk,Accipiter nisus,SH,Amber
Swift,Apus apus,SI,Red
Snow Goose,Anser caerulescens,SJ,
Siskin,Spinus spinus,SK,Green
Swallow,Hirundo rustica,SL,Green
Sand Martin,Riparia riparia,SM,Green
Snipe,Gallinago gallinago,SN,Amber
Snowy Owl,Bubo scandiacus,SO,
Great Grey Shrike,Lanius excubitor,SR,
Sanderling,Calidris alba,SS,Amber
Shelduck,Tadorna tadorna,SU,Amber
Shoveler,Spatula clypeata,SV,Amber
Sedge Warbler,Acrocephalus schoenobaenus,SW,Amber
Shore Lark,Eremophila alpestris,SX,Amber
Smew,Mergellus albellus,SY,Red
Slavonian Grebe,Podiceps auritus,SZ,Red
Teal,Anas crecca,T.,Amber
Treecreeper,Certhia familiaris,TC,Green
Sandwich Tern,Thalasseus sandvicensis,TE,Amber
Short-toed Treecreeper,Certhia brachydactyla,TH,Amber
Tawny Pipit,Anthus campestris,TI,
Temminck’s Stint,Calidris temminckii,TK,
Leach’s Petrel,Oceanodroma leucorhoa,TL,Red
Storm Petrel,Hydrobates pelagicus,TM,Amber
Tawny Owl,Strix aluco,TO,Amber
Turnstone,Arenaria interpres,TT,Amber
Tufted Duck,Aythya fuligula,TU,Green
Black Guillemot,Cepphus grylle,TY,Amber
Purple Heron,Ardea purpurea,UR,
Velvet Scoter,Melanitta fusca,VS,Red
Wheatear,Oenanthe oenanthe,W.,Amber
Water Rail,Rallus aquaticus,WA,Green
Whinchat,Saxicola rubetra,WC,Red
White-tailed Eagle,Haliaeetus albicilla,WE,Amber
Whitethroat,Curruca communis,WH,Amber
Water Pipit,Anthus spinoletta,WI,Amber
Woodcock,Scolopax rusticola,WK,Red
Whimbrel,Numenius phaeopus,WM,Red
Wigeon,Mareca penelope,WN,Amber
Woodpigeon,Columba palumbus,WP,Amber
Wren,Troglodytes troglodytes,WR,Amber
Whooper Swan,Cygnus cygnus,WS,Amber
Willow Warbler,Phylloscopus trochilus,WW,Amber
Waxwing,Bombycilla garrulus,WX,Green
Wryneck,Jynx torquilla,WY,
Yellow-browed Warbler,Phylloscopus inornatus,YB,Amber
Gyr Falcon,Falco rusticolus,YF,